pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,id
681,5,rivedoux plage,,,14/07/2020,False,31922291
248,3,rivedoux plage,,1,14/07/2020,False,41807117
514,3,sainte marie de re,,,14/07/2020,False,41898522
311,3,la rochelle,,,14/07/2020,False,16317728
634,4,la rochelle,,3,14/07/2020,False,31679853
548,3,sainte marie de re,,,14/07/2020,False,3232178
248,3,rivedoux plage,,1,14/07/2020,False,42885442
731,4,la couarde sur mer,,,14/07/2020,False,41545453
248,3,rivedoux plage,,1,14/07/2020,False,42725522
835,4,rivedoux plage,,3,14/07/2020,False,42881478
540,5,loix,,5,14/07/2020,False,16119699
245,3,l houmeau,,3,14/07/2020,False,35454487
97,2,la rochelle,,1,14/07/2020,False,42261111
123,2,la rochelle,,1,14/07/2020,False,32411765
248,3,rivedoux plage,,1,14/07/2020,False,42885442
685,6,rivedoux plage,,3,14/07/2020,False,4945576
835,4,rivedoux plage,,3,14/07/2020,False,42881478
355,3,l houmeau,,4,14/07/2020,False,34859421
644,3,loix,,5,14/07/2020,False,15925057
715,4,loix,,3,14/07/2020,False,979153
889,4,loix,,3,14/07/2020,False,41521049
259,3,,,3,14/07/2020,False,19713453
"1,044",6,la couarde sur mer,,3,14/07/2020,False,40408890
405,6,la rochelle,,3,14/07/2020,False,5292216
547,5,rivedoux plage,,3,14/07/2020,False,40771751
778,3,le bois plage en re,,,14/07/2020,False,39211506
311,3,la rochelle,,,14/07/2020,False,2050360
849,5,la couarde sur mer,,3,14/07/2020,False,1358373
"1,420",6,rivedoux plage,,5,14/07/2020,False,24168343
421,3,sainte marie de re,,1,14/07/2020,False,15862832
849,5,la couarde sur mer,,3,14/07/2020,False,1358373
784,4,le bois plage en re,,4,14/07/2020,False,16119700
544,3,la couarde sur mer,,,14/07/2020,False,1275210
207,2,l houmeau,,1,14/07/2020,False,25839222
189,3,la rochelle,,1,21/07/2020,False,42980317
684,6,saint martin de re,,5,21/07/2020,False,21728129
881,6,saint martin de re,,5,21/07/2020,False,20600612
365,4,sainte marie de re,,,21/07/2020,False,17216257
560,4,le bois plage en re,,5,21/07/2020,False,32300208
437,4,nieul sur mer,,,21/07/2020,False,26432823
320,4,la rochelle,,1,21/07/2020,False,34895735
246,4,la rochelle,,,21/07/2020,False,14794504
279,3,la couarde sur mer,,1,21/07/2020,False,18485059
685,5,la flotte,,5,21/07/2020,False,19253609
530,3,rivedoux plage,,3,21/07/2020,False,33343343
488,5,sainte marie de re,,5,21/07/2020,False,28240132
552,3,le bois plage en re,,,21/07/2020,False,15844141
983,6,le bois plage en re,,5,21/07/2020,False,3136842
123,2,la rochelle,,1,21/07/2020,False,32411765
720,4,le bois plage en re,,,21/07/2020,False,13507125
260,3,rivedoux plage,,1,21/07/2020,False,42725522
548,3,sainte marie de re,,,21/07/2020,False,3232178
260,3,rivedoux plage,,1,21/07/2020,False,41807117
311,3,la rochelle,,,21/07/2020,False,16317728
625,4,la rochelle,,3,21/07/2020,False,31679853
260,3,rivedoux plage,,1,21/07/2020,False,41807117
123,2,la rochelle,,1,21/07/2020,False,32411765
260,3,rivedoux plage,,1,21/07/2020,False,42885442
835,4,rivedoux plage,,3,21/07/2020,False,42881478
647,4,sainte marie de re,,,21/07/2020,False,25654302
355,3,l houmeau,,4,21/07/2020,False,34859421
260,3,rivedoux plage,,1,21/07/2020,False,42725522
97,2,la rochelle,,1,21/07/2020,False,42261111
715,4,loix,,3,21/07/2020,False,979153
260,3,rivedoux plage,,1,21/07/2020,False,42216319
644,3,loix,,5,21/07/2020,False,15925057
573,5,loix,,5,21/07/2020,False,16119699
97,2,la rochelle,,1,21/07/2020,False,25743304
259,3,,,3,21/07/2020,False,19713453
761,5,sainte marie de re,,,21/07/2020,False,36513210
"1,621",8,la flotte,,5,21/07/2020,False,28909955
470,5,sainte marie de re,,3,21/07/2020,False,26373652
819,4,le bois plage en re,,5,21/07/2020,False,7126485
889,4,loix,,3,21/07/2020,False,41521049
715,4,loix,,3,21/07/2020,False,979153
264,4,,,,21/07/2020,False,23457803
260,3,rivedoux plage,,1,21/07/2020,False,42216319
498,4,,,,21/07/2020,False,33860869
644,3,loix,,5,21/07/2020,False,15925057
97,2,la rochelle,,1,21/07/2020,False,25743304
573,5,loix,,5,21/07/2020,False,16119699
761,5,sainte marie de re,,,21/07/2020,False,36513210
259,3,,,3,21/07/2020,False,19713453
"1,621",8,la flotte,,5,21/07/2020,False,28909955
261,3,la rochelle,,,21/07/2020,False,24147504
470,5,sainte marie de re,,3,21/07/2020,False,26373652
819,4,le bois plage en re,,5,21/07/2020,False,7126485
889,4,loix,,3,21/07/2020,False,41521049
547,4,la rochelle,,3,21/07/2020,False,17679050
719,4,lagord,,,21/07/2020,False,32510158
685,6,rivedoux plage,,3,21/07/2020,False,4945576
